DealID,CustomerID,SalespersonID,InterestedVehicleClass,BudgetRange,Status,UrgencyLevel,HealthScore,LowerBenchmark,UpperBenchmark,InteractionCount,StartDate,LastContactDate,PointOfFailure,IntendedPurchaseTimeframe,IntendedPurchaseJourney,PastInquiryHistory,PreferredCommunication,HomeLocation,LeadSource,LoyaltyStatus,AgeGroup,Gender,Profession,CustomerSegment,DealStageHistory,AssignedBranch,ClosingDate,DealNotes,FollowUpRequired,DiscountOffered,ReEngagementAttempted
D0151,CUST0156,SALESP087,sedan,"$31,385-$42,592",fail,Low,37,54,77,6,2025-06-30,2025-07-23,price,1-3 months,research,"Looked at 2021 F-150, did not purchase",email,"Columbus, OH",web,returning customer,26-35,Female,Consultant,price-sensitive,"[[""lead"", ""2025-06-30""], [""contacted"", ""2025-07-03""], [""appointment"", ""2025-07-09""], [""lost"", ""2025-07-23""]]",North Branch,,Customer wanted larger discount than we could offer,yes,$0,pending
D0152,CUST0418,SALESP088,used,"$15,143-$22,267",pass,Medium,74,45,70,6,2025-12-11,2026-01-05,,1-3 months,compare deals,"Looked at 2020 Explorer, did not purchase",email,"Denver, CO",web,returning customer,26-35,Male,Marketing Manager,price-sensitive,"[[""lead"", ""2025-12-11""], [""contacted"", ""2025-12-14""], [""appointment"", ""2025-12-19""], [""proposal"", ""2025-12-22""], [""negotiation"", ""2025-12-29""], [""sold"", ""2025-12-31""]]",Downtown,2026-01-24,Upgraded to higher trim level,no,$254,no
D0153,CUST0653,SALESP046,SUV,"$34,694-$52,135",pass,Critical,91,60,72,3,2025-02-09,2025-02-23,,immediate,research,No prior history,call,"Various, USA",web,returning customer,36-50,Female,Not specified,loyal,"[[""lead"", ""2025-02-09""], [""contacted"", ""2025-02-11""], [""appointment"", ""2025-02-14""], [""proposal"", ""2025-02-16""], [""negotiation"", ""2025-02-18""], [""sold"", ""2025-02-19""]]",Downtown,2025-02-23,"Smooth transaction, customer very satisfied",no,$756,no
D0154,CUST0343,SALESP080,used,"$18,466-$26,504",pass,Critical,68,44,65,3,2025-03-08,2025-04-21,,<1 month,research,"Looked at 2023 Mustang, did not purchase",email,"San Antonio, TX",web,new customer,18-25,Male,Operations Manager,first-time,"[[""lead"", ""2025-03-08""], [""contacted"", ""2025-03-09""], [""appointment"", ""2025-03-11""], [""proposal"", ""2025-03-13""], [""negotiation"", ""2025-03-15""], [""sold"", ""2025-03-17""]]",North Branch,2025-04-21,"Negotiated on price, final discount applied",no,$920,no
D0155,CUST0234,SALESP005,sedan,"$23,850-$33,783",fail,Medium,37,53,82,6,2025-02-28,2025-03-05,lost interest,just exploring,research,"Looked at 2021 F-150, did not purchase",WhatsApp,"Denver, CO",web,returning customer,26-35,Male,Accountant,price-sensitive,"[[""lead"", ""2025-02-28""], [""contacted"", ""2025-03-01""], [""appointment"", ""2025-03-03""], [""proposal"", ""2025-03-08""], [""negotiation"", ""2025-03-10""], [""lost"", ""2025-03-05""]]",South Branch,,Customer decided to postpone purchase indefinitely,yes,$0,no
D0156,CUST0461,SALESP072,used,"$16,348-$21,973",pass,Low,77,50,67,6,2025-06-27,2025-08-06,,just exploring,book appointment,"Looked at 2022 CR-V, did not purchase",email,"Columbus, OH",web,new customer,26-35,Male,Lawyer,first-time,"[[""lead"", ""2025-06-27""], [""contacted"", ""2025-06-28""], [""appointment"", ""2025-07-05""], [""proposal"", ""2025-07-08""], [""negotiation"", ""2025-07-15""], [""sold"", ""2025-07-18""]]",Main Street,2025-08-06,Financing approved quickly,no,$611,no
D0157,CUST0069,SALESP007,EV,"$52,248-$63,779",pass,Medium,81,41,68,5,2025-12-24,2026-01-02,,1-3 months,trade-in,"Looked at 2021 F-150, purchased",call,"Nashville, TN",web,new customer,51-65,Female,Nurse,luxury,"[[""lead"", ""2025-12-24""], [""contacted"", ""2025-12-26""], [""appointment"", ""2025-12-29""], [""proposal"", ""2026-01-03""], [""negotiation"", ""2026-01-08""], [""sold"", ""2026-01-10""]]",Downtown,2026-03-24,"Smooth transaction, customer very satisfied",no,$802,no
D0158,CUST0181,SALESP056,sedan,"$29,835-$44,387",pass,High,73,59,73,2,2025-12-02,2026-01-03,,<1 month,research,"Looked at 2023 Model 3, purchased",text,"Milwaukee, WI",walk-in,in-service customer,65+,Male,Designer,loyal,"[[""lead"", ""2025-12-02""], [""contacted"", ""2025-12-03""], [""appointment"", ""2025-12-06""], [""proposal"", ""2025-12-07""], [""negotiation"", ""2025-12-08""], [""sold"", ""2025-12-09""]]",Main Street,2026-01-13,"Negotiated on price, final discount applied",no,$598,no
D0159,CUST0274,SALESP023,sedan,"$23,781-$37,396",fail,High,35,67,75,9,2025-10-16,2025-12-04,credit,<1 month,trade-in,"Looked at 2022 RAV4, purchased",email,"San Francisco, CA",OEM feed,new customer,26-35,Female,Customer Service Rep,fleet/corporate,"[[""lead"", ""2025-10-16""], [""contacted"", ""2025-10-19""], [""lost"", ""2025-12-04""]]",Airport,,"Credit application denied, unable to secure financing",yes,$0,pending
D0160,CUST0660,SALESP044,sports,"$59,162-$81,849",pass,Medium,80,44,74,6,2025-08-10,2025-10-07,,1-3 months,book appointment,No prior history,call,"Various, USA",walk-in,new customer,18-25,Female,Not specified,luxury,"[[""lead"", ""2025-08-10""], [""contacted"", ""2025-08-13""], [""appointment"", ""2025-08-20""], [""proposal"", ""2025-08-25""], [""negotiation"", ""2025-08-31""], [""sold"", ""2025-09-02""]]",Airport,2025-10-07,"Negotiated on price, final discount applied",no,"$2,293",no
D0161,CUST0401,SALESP083,EV,"$48,600-$62,681",pass,High,68,60,68,5,2025-07-15,2025-07-29,,1-3 months,trade-in,"Looked at 2022 CR-V, purchased",text,"Phoenix, AZ",OEM feed,in-service customer,26-35,Female,Financial Advisor,loyal,"[[""lead"", ""2025-07-15""], [""contacted"", ""2025-07-17""], [""appointment"", ""2025-07-19""], [""proposal"", ""2025-07-21""], [""negotiation"", ""2025-07-23""], [""sold"", ""2025-07-24""]]",Airport,2025-07-29,"Smooth transaction, customer very satisfied",no,$672,no
D0162,CUST0023,SALESP008,sedan,"$32,318-$45,033",fail,Medium,49,53,86,8,2025-12-31,2026-01-01,financing terms,1-3 months,research,"Looked at 2021 Accord, did not purchase",call,"Nashville, TN",OEM feed,new customer,36-50,Female,Chef,price-sensitive,"[[""lead"", ""2025-12-31""], [""contacted"", ""2026-01-01""], [""appointment"", ""2026-01-06""], [""lost"", ""2026-01-01""]]",Airport,,Unable to agree on acceptable financing terms,yes,$0,no
D0163,CUST0114,SALESP036,sports,"$48,883-$70,408",pass,High,88,58,72,2,2025-03-17,2025-04-12,,<1 month,finance inquiry,"Looked at 2021 F-150, did not purchase",email,"Oklahoma City, OK",OEM feed,new customer,51-65,Male,Chef,luxury,"[[""lead"", ""2025-03-17""], [""contacted"", ""2025-03-19""], [""appointment"", ""2025-03-20""], [""proposal"", ""2025-03-22""], [""negotiation"", ""2025-03-23""], [""sold"", ""2025-03-25""]]",Airport,2025-04-12,Financing approved quickly,no,"$2,992",no
D0164,CUST0469,SALESP115,EV,"$51,391-$64,583",fail,Medium,37,56,88,11,2025-03-28,2025-05-05,lost interest,just exploring,research,"Looked at 2020 Explorer, still considering",call,"Houston, TX",OEM feed,new customer,65+,Female,IT Support,price-sensitive,"[[""lead"", ""2025-03-28""], [""contacted"", ""2025-03-29""], [""appointment"", ""2025-04-05""], [""proposal"", ""2025-04-07""], [""negotiation"", ""2025-04-10""], [""lost"", ""2025-05-05""]]",Airport,,Customer decided to postpone purchase indefinitely,yes,$0,yes
D0165,CUST0386,SALESP005,used,"$21,562-$30,995",pass,Medium,77,49,68,6,2025-12-19,2025-12-31,,just exploring,trade-in,"Looked at 2023 Mustang, did not purchase",email,"San Jose, CA",web,new customer,36-50,Female,HR Manager,price-sensitive,"[[""lead"", ""2025-12-19""], [""contacted"", ""2025-12-22""], [""appointment"", ""2025-12-26""], [""proposal"", ""2025-12-31""], [""negotiation"", ""2026-01-06""], [""sold"", ""2026-01-09""]]",South Branch,2026-01-13,Trade-in processed successfully,no,"$1,916",no
D0166,CUST0082,SALESP036,EV,"$40,704-$63,707",pass,Medium,91,48,66,4,2025-01-10,2025-01-31,,just exploring,book appointment,"Looked at 2021 F-150, did not purchase",call,"Memphis, TN",web,new customer,51-65,Female,Electrician,luxury,"[[""lead"", ""2025-01-10""], [""contacted"", ""2025-01-11""], [""appointment"", ""2025-01-18""], [""proposal"", ""2025-01-23""], [""negotiation"", ""2025-01-26""], [""sold"", ""2025-01-29""]]",Airport,2025-01-31,"Negotiated on price, final discount applied",no,"$1,929",no
D0167,CUST0069,SALESP023,EV,"$52,248-$63,779",pass,Medium,77,55,67,4,2025-03-08,2025-03-31,,1-3 months,trade-in,"Looked at 2021 F-150, purchased",call,"Nashville, TN",web,new customer,51-65,Female,Nurse,luxury,"[[""lead"", ""2025-03-08""], [""contacted"", ""2025-03-11""], [""appointment"", ""2025-03-16""], [""proposal"", ""2025-03-21""], [""negotiation"", ""2025-03-24""], [""sold"", ""2025-03-29""]]",Main Street,2025-03-31,Customer appreciated responsive service,no,"$1,795",no
D0168,CUST0281,SALESP026,SUV,"$40,089-$54,692",fail,High,37,67,83,12,2025-08-17,2025-09-08,went with competitor,immediate,finance inquiry,"Looked at 2023 Model 3, still considering",WhatsApp,"Fresno, CA",referral,in-service customer,18-25,Male,Nurse,loyal,"[[""lead"", ""2025-08-17""], [""contacted"", ""2025-08-18""], [""lost"", ""2025-09-08""]]",Airport,,Customer found better deal at competing dealership,yes,$0,yes
D0169,CUST0669,SALESP065,used,"$13,159-$19,536",pass,Critical,72,56,72,4,2025-01-06,2025-01-22,,immediate,research,No prior history,text,"Various, USA",OEM feed,in-service customer,26-35,Male,Not specified,price-sensitive,"[[""lead"", ""2025-01-06""], [""contacted"", ""2025-01-07""], [""appointment"", ""2025-01-10""], [""proposal"", ""2025-01-12""], [""negotiation"", ""2025-01-13""], [""sold"", ""2025-01-15""]]",North Branch,2025-01-22,Upgraded to higher trim level,no,$488,no
D0170,CUST0464,SALESP006,SUV,"$32,257-$44,177",pass,High,69,44,69,2,2025-11-20,2025-12-25,,1-3 months,research,"Looked at 2023 Model 3, did not purchase",text,"Phoenix, AZ",referral,returning customer,26-35,Female,Chef,loyal,"[[""lead"", ""2025-11-20""], [""contacted"", ""2025-11-23""], [""appointment"", ""2025-11-25""], [""proposal"", ""2025-11-27""], [""negotiation"", ""2025-11-29""], [""sold"", ""2025-12-01""]]",South Branch,2025-12-25,Upgraded to higher trim level,no,"$1,945",no
D0171,CUST0671,SALESP081,sedan,"$28,924-$37,047",fail,High,29,61,76,12,2025-05-18,2025-05-29,vehicle condition,immediate,compare deals,No prior history,call,"Various, USA",OEM feed,returning customer,36-50,Female,Not specified,loyal,"[[""lead"", ""2025-05-18""], [""contacted"", ""2025-05-21""], [""appointment"", ""2025-05-27""], [""lost"", ""2025-05-29""]]",North Branch,,Customer had concerns about vehicle condition,yes,$0,pending
D0172,CUST0672,SALESP055,SUV,"$47,699-$61,283",fail,Critical,20,60,82,4,2025-03-22,2025-04-02,follow-up delay,<1 month,trade-in,No prior history,call,"Various, USA",web,new customer,51-65,Male,Not specified,loyal,"[[""lead"", ""2025-03-22""], [""contacted"", ""2025-03-25""], [""appointment"", ""2025-04-01""], [""lost"", ""2025-04-02""]]",Airport,,"Failed to follow up in timely manner, customer lost interest",yes,$0,yes
D0173,CUST0673,SALESP068,EV,"$45,572-$68,512",fail,Low,50,69,76,10,2025-12-15,2026-01-05,follow-up delay,just exploring,finance inquiry,No prior history,call,"Various, USA",web,new customer,36-50,Male,Not specified,luxury,"[[""lead"", ""2025-12-15""], [""contacted"", ""2025-12-18""], [""appointment"", ""2025-12-21""], [""proposal"", ""2025-12-23""], [""negotiation"", ""2025-12-30""], [""lost"", ""2026-01-05""]]",North Branch,,"Failed to follow up in timely manner, customer lost interest",yes,$0,pending
D0174,CUST0674,SALESP078,used,"$13,416-$22,715",pass,Medium,77,50,69,3,2025-03-27,2025-05-30,,just exploring,finance inquiry,No prior history,call,"Various, USA",web,new customer,51-65,Male,Not specified,price-sensitive,"[[""lead"", ""2025-03-27""], [""contacted"", ""2025-03-30""], [""appointment"", ""2025-04-06""], [""proposal"", ""2025-04-09""], [""negotiation"", ""2025-04-16""], [""sold"", ""2025-04-19""]]",Downtown,2025-05-30,"Repeat customer, easy close",no,$422,no
D0175,CUST0081,SALESP126,used,"$16,678-$25,701",fail,Low,25,55,78,10,2025-04-29,2025-05-26,credit,just exploring,research,"Looked at 2021 Accord, purchased",WhatsApp,"Sacramento, CA",walk-in,in-service customer,26-35,Non-binary,Data Analyst,price-sensitive,"[[""lead"", ""2025-04-29""], [""contacted"", ""2025-05-01""], [""appointment"", ""2025-05-06""], [""proposal"", ""2025-05-11""], [""negotiation"", ""2025-05-18""], [""lost"", ""2025-05-26""]]",North Branch,,"Credit application denied, unable to secure financing",yes,"$2,058",yes
D0176,CUST0676,SALESP051,sedan,"$28,831-$38,513",fail,Medium,26,65,86,7,2025-07-30,2025-08-12,lost interest,1-3 months,research,No prior history,email,"Various, USA",OEM feed,new customer,36-50,Female,Not specified,price-sensitive,"[[""lead"", ""2025-07-30""], [""contacted"", ""2025-08-01""], [""lost"", ""2025-08-12""]]",Airport,,Customer decided to postpone purchase indefinitely,yes,$0,yes
D0177,CUST0205,SALESP024,SUV,"$33,834-$44,535",pass,High,68,57,67,4,2025-12-11,2026-01-04,,immediate,trade-in,"Looked at 2022 CR-V, purchased",email,"Oklahoma City, OK",referral,in-service customer,51-65,Female,Project Manager,loyal,"[[""lead"", ""2025-12-11""], [""contacted"", ""2025-12-12""], [""appointment"", ""2025-12-15""], [""proposal"", ""2025-12-17""], [""negotiation"", ""2025-12-18""], [""sold"", ""2025-12-20""]]",Downtown,2026-01-12,Customer appreciated responsive service,no,"$1,115",no
D0178,CUST0047,SALESP100,sedan,"$32,925-$41,001",fail,Medium,50,60,85,5,2025-09-24,2025-11-03,went with competitor,<1 month,finance inquiry,"Looked at 2022 RAV4, still considering",text,"San Jose, CA",web,new customer,26-35,Non-binary,Construction Manager,first-time,"[[""lead"", ""2025-09-24""], [""contacted"", ""2025-09-27""], [""lost"", ""2025-11-03""]]",North Branch,,Customer found better deal at competing dealership,yes,"$2,325",no
D0179,CUST0022,SALESP005,SUV,"$60,505-$88,509",pass,High,73,53,74,3,2025-04-24,2025-05-02,,<1 month,research,"Looked at 2023 Model 3, did not purchase",text,"Austin, TX",OEM feed,returning customer,36-50,Female,Electrician,luxury,"[[""lead"", ""2025-04-24""], [""contacted"", ""2025-04-27""], [""appointment"", ""2025-04-29""], [""proposal"", ""2025-04-30""], [""negotiation"", ""2025-05-01""], [""sold"", ""2025-05-03""]]",South Branch,2025-05-02,Upgraded to higher trim level,no,"$2,478",no
D0180,CUST0680,SALESP035,SUV,"$34,998-$51,018",fail,Critical,37,57,76,6,2025-12-27,2025-12-30,credit,immediate,trade-in,No prior history,text,"Various, USA",referral,returning customer,51-65,Female,Not specified,price-sensitive,"[[""lead"", ""2025-12-27""], [""contacted"", ""2025-12-29""], [""appointment"", ""2025-12-31""], [""lost"", ""2025-12-30""]]",South Branch,,"Credit application denied, unable to secure financing",yes,$0,no
D0181,CUST0489,SALESP029,SUV,"$41,753-$56,358",pass,High,70,57,69,5,2025-08-01,2025-08-11,,<1 month,finance inquiry,"Looked at 2021 Camry, purchased",WhatsApp,"Las Vegas, NV",web,new customer,26-35,Male,Construction Manager,price-sensitive,"[[""lead"", ""2025-08-01""], [""contacted"", ""2025-08-03""], [""appointment"", ""2025-08-06""], [""proposal"", ""2025-08-08""], [""negotiation"", ""2025-08-09""], [""sold"", ""2025-08-10""]]",North Branch,2025-08-11,Financing approved quickly,no,"$1,449",no
D0182,CUST0163,SALESP007,SUV,"$39,749-$53,974",pass,High,79,52,67,2,2025-06-11,2025-07-02,,immediate,research,"Looked at 2023 Mustang, did not purchase",text,"San Diego, CA",OEM feed,returning customer,26-35,Female,Real Estate Agent,loyal,"[[""lead"", ""2025-06-11""], [""contacted"", ""2025-06-13""], [""appointment"", ""2025-06-16""], [""proposal"", ""2025-06-17""], [""negotiation"", ""2025-06-18""], [""sold"", ""2025-06-20""]]",Main Street,2025-07-02,"Smooth transaction, customer very satisfied",no,"$1,983",no
D0183,CUST0265,SALESP056,EV,"$52,595-$77,273",fail,Medium,54,63,79,7,2025-06-16,2025-06-25,price,1-3 months,book appointment,"Looked at 2021 Camry, did not purchase",text,"San Diego, CA",walk-in,new customer,36-50,Male,Retail Manager,luxury,"[[""lead"", ""2025-06-16""], [""contacted"", ""2025-06-19""], [""lost"", ""2025-06-25""]]",South Branch,,Customer wanted larger discount than we could offer,pending,$0,yes
D0184,CUST0471,SALESP081,used,"$15,421-$25,421",fail,High,34,52,77,7,2025-12-20,2026-01-04,credit,1-3 months,compare deals,"Looked at 2023 Model 3, went with competitor",WhatsApp,"Dallas, TX",web,new customer,51-65,Male,Business Analyst,price-sensitive,"[[""lead"", ""2025-12-20""], [""contacted"", ""2025-12-22""], [""appointment"", ""2025-12-28""], [""lost"", ""2026-01-04""]]",Main Street,,"Credit application denied, unable to secure financing",yes,$694,yes
D0185,CUST0410,SALESP037,SUV,"$67,523-$93,930",pass,Medium,75,48,69,7,2025-03-17,2025-04-11,,1-3 months,trade-in,"Looked at 2023 Model 3, did not purchase",email,"Oklahoma City, OK",web,new customer,51-65,Male,Financial Advisor,luxury,"[[""lead"", ""2025-03-17""], [""contacted"", ""2025-03-20""], [""appointment"", ""2025-03-27""], [""proposal"", ""2025-03-31""], [""negotiation"", ""2025-04-05""], [""sold"", ""2025-04-09""]]",Downtown,2025-04-11,"Repeat customer, easy close",no,"$1,670",no
D0186,CUST0064,SALESP034,EV,"$37,502-$55,865",pass,High,85,43,74,3,2025-03-30,2025-04-07,,<1 month,book appointment,"Looked at 2020 Explorer, did not purchase",call,"Milwaukee, WI",web,in-service customer,36-50,Male,Business Analyst,loyal,"[[""lead"", ""2025-03-30""], [""contacted"", ""2025-04-01""], [""appointment"", ""2025-04-02""], [""proposal"", ""2025-04-03""], [""negotiation"", ""2025-04-04""], [""sold"", ""2025-04-05""]]",Airport,2025-04-07,"Repeat customer, easy close",no,"$1,085",no
D0187,CUST0109,SALESP087,sedan,"$27,886-$38,412",pass,High,90,51,73,3,2025-08-13,2025-09-18,,1-3 months,research,"Looked at 2023 Model 3, did not purchase",email,"Nashville, TN",referral,returning customer,51-65,Female,Small Business Owner,loyal,"[[""lead"", ""2025-08-13""], [""contacted"", ""2025-08-15""], [""appointment"", ""2025-08-18""], [""proposal"", ""2025-08-19""], [""negotiation"", ""2025-08-21""], [""sold"", ""2025-08-22""]]",Main Street,2025-09-18,Upgraded to higher trim level,no,$482,no
D0188,CUST0688,SALESP044,EV,"$49,692-$72,084",pass,High,86,57,68,2,2025-11-19,2025-12-24,,1-3 months,book appointment,No prior history,text,"Various, USA",referral,new customer,26-35,Male,Not specified,luxury,"[[""lead"", ""2025-11-19""], [""contacted"", ""2025-11-21""], [""appointment"", ""2025-11-22""], [""proposal"", ""2025-11-23""], [""negotiation"", ""2025-11-24""], [""sold"", ""2025-11-25""]]",South Branch,2025-12-24,Trade-in processed successfully,no,"$1,324",no
D0189,CUST0206,SALESP045,sedan,"$23,275-$35,507",fail,Low,34,68,83,4,2025-06-27,2025-08-08,credit,just exploring,trade-in,"Looked at 2020 Civic, did not purchase",call,"Portland, OR",walk-in,new customer,26-35,Female,Retail Manager,price-sensitive,"[[""lead"", ""2025-06-27""], [""contacted"", ""2025-06-30""], [""appointment"", ""2025-07-02""], [""proposal"", ""2025-07-05""], [""negotiation"", ""2025-07-12""], [""lost"", ""2025-08-08""]]",Airport,,"Credit application denied, unable to secure financing",yes,$0,yes
D0190,CUST0076,SALESP037,EV,"$45,895-$58,080",pass,High,79,41,75,4,2025-09-01,2025-10-06,,immediate,research,"Looked at 2022 Corolla, did not purchase",call,"Houston, TX",walk-in,new customer,36-50,Female,HR Manager,luxury,"[[""lead"", ""2025-09-01""], [""contacted"", ""2025-09-02""], [""appointment"", ""2025-09-05""], [""proposal"", ""2025-09-07""], [""negotiation"", ""2025-09-09""], [""sold"", ""2025-09-11""]]",North Branch,2025-10-06,"Repeat customer, easy close",no,"$1,562",no
D0191,CUST0304,SALESP001,EV,"$50,406-$72,035",pass,Low,84,59,75,4,2025-09-27,2025-11-21,,just exploring,trade-in,"Looked at 2023 Mustang, still considering",text,"Fort Worth, TX",web,returning customer,36-50,Non-binary,Business Analyst,luxury,"[[""lead"", ""2025-09-27""], [""contacted"", ""2025-09-28""], [""appointment"", ""2025-10-03""], [""proposal"", ""2025-10-07""], [""negotiation"", ""2025-10-14""], [""sold"", ""2025-10-17""]]",Main Street,2025-11-21,Customer appreciated responsive service,no,"$1,578",no
D0192,CUST0692,SALESP082,sports,"$46,684-$77,356",pass,Medium,90,49,69,6,2025-07-22,2025-08-18,,just exploring,research,No prior history,WhatsApp,"Various, USA",web,returning customer,26-35,Male,Not specified,luxury,"[[""lead"", ""2025-07-22""], [""contacted"", ""2025-07-23""], [""appointment"", ""2025-07-29""], [""proposal"", ""2025-08-03""], [""negotiation"", ""2025-08-08""], [""sold"", ""2025-08-10""]]",Downtown,2025-08-18,Customer appreciated responsive service,no,"$2,803",no
D0193,CUST0369,SALESP090,SUV,"$56,424-$72,530",pass,Medium,86,48,73,6,2025-09-09,2025-10-17,,1-3 months,finance inquiry,"Looked at 2022 RAV4, purchased",call,"San Diego, CA",referral,returning customer,51-65,Female,Operations Manager,luxury,"[[""lead"", ""2025-09-09""], [""contacted"", ""2025-09-12""], [""appointment"", ""2025-09-16""], [""proposal"", ""2025-09-18""], [""negotiation"", ""2025-09-23""], [""sold"", ""2025-09-28""]]",Downtown,2025-10-17,Trade-in processed successfully,no,"$2,684",no
D0194,CUST0694,SALESP010,used,"$14,371-$22,433",pass,Medium,82,49,68,4,2025-10-27,2025-11-28,,1-3 months,research,No prior history,email,"Various, USA",web,new customer,18-25,Male,Not specified,first-time,"[[""lead"", ""2025-10-27""], [""contacted"", ""2025-10-30""], [""appointment"", ""2025-11-03""], [""proposal"", ""2025-11-07""], [""negotiation"", ""2025-11-11""], [""sold"", ""2025-11-16""]]",Main Street,2025-11-28,Financing approved quickly,no,$666,no
D0195,CUST0695,SALESP052,SUV,"$45,638-$62,682",pass,High,92,47,75,2,2025-02-26,2025-03-30,,<1 month,research,No prior history,WhatsApp,"Various, USA",web,returning customer,26-35,Male,Not specified,loyal,"[[""lead"", ""2025-02-26""], [""contacted"", ""2025-02-28""], [""appointment"", ""2025-03-01""], [""proposal"", ""2025-03-02""], [""negotiation"", ""2025-03-03""], [""sold"", ""2025-03-04""]]",South Branch,2025-03-30,Financing approved quickly,no,"$1,622",no
D0196,CUST0696,SALESP097,sports,"$50,441-$83,138",fail,Low,27,62,76,5,2025-11-19,2026-01-01,lost interest,1-3 months,research,No prior history,call,"Various, USA",OEM feed,new customer,36-50,Female,Not specified,luxury,"[[""lead"", ""2025-11-19""], [""contacted"", ""2025-11-20""], [""lost"", ""2026-01-01""]]",North Branch,,Customer decided to postpone purchase indefinitely,yes,$799,pending
D0197,CUST0134,SALESP048,SUV,"$34,945-$47,549",fail,High,41,63,89,9,2025-12-11,2026-01-04,follow-up delay,<1 month,trade-in,"Looked at 2023 Mustang, purchased",text,"Memphis, TN",web,returning customer,65+,Male,Marketing Manager,fleet/corporate,"[[""lead"", ""2025-12-11""], [""contacted"", ""2025-12-12""], [""appointment"", ""2025-12-15""], [""proposal"", ""2025-12-20""], [""negotiation"", ""2025-12-27""], [""lost"", ""2026-01-04""]]",Main Street,,"Failed to follow up in timely manner, customer lost interest",yes,"$2,367",yes
D0198,CUST0200,SALESP016,sedan,"$25,469-$36,849",pass,Medium,85,48,69,6,2025-10-17,2025-12-28,,<1 month,research,"Looked at 2021 Accord, did not purchase",email,"Detroit, MI",OEM feed,new customer,26-35,Male,Business Analyst,first-time,"[[""lead"", ""2025-10-17""], [""contacted"", ""2025-10-20""], [""appointment"", ""2025-10-24""], [""proposal"", ""2025-10-26""], [""negotiation"", ""2025-10-30""], [""sold"", ""2025-11-01""]]",Airport,2025-12-28,Added extended warranty package,no,$789,no
D0199,CUST0475,SALESP008,used,"$19,447-$24,760",pass,Critical,70,48,67,4,2025-08-25,2025-09-04,,<1 month,research,"Looked at 2020 Civic, did not purchase",call,"Fresno, CA",OEM feed,new customer,26-35,Female,Teacher,first-time,"[[""lead"", ""2025-08-25""], [""contacted"", ""2025-08-26""], [""appointment"", ""2025-08-27""], [""proposal"", ""2025-08-28""], [""negotiation"", ""2025-08-30""], [""sold"", ""2025-09-01""]]",North Branch,2025-09-04,Financing approved quickly,no,"$1,762",no
D0200,CUST0114,SALESP058,sports,"$48,883-$70,408",pass,Medium,78,53,70,3,2025-07-01,2025-08-12,,<1 month,finance inquiry,"Looked at 2021 F-150, did not purchase",email,"Oklahoma City, OK",OEM feed,new customer,51-65,Male,Chef,luxury,"[[""lead"", ""2025-07-01""], [""contacted"", ""2025-07-02""], [""appointment"", ""2025-07-06""], [""proposal"", ""2025-07-08""], [""negotiation"", ""2025-07-15""], [""sold"", ""2025-07-18""]]",Airport,2025-08-12,Added extended warranty package,no,"$2,212",no
D0201,CUST0359,SALESP085,used,"$17,575-$25,485",pass,Medium,68,40,69,6,2025-11-22,2025-12-29,,1-3 months,compare deals,"Looked at 2021 F-150, still considering",email,"Las Vegas, NV",walk-in,in-service customer,18-25,Male,Marketing Manager,price-sensitive,"[[""lead"", ""2025-11-22""], [""contacted"", ""2025-11-24""], [""appointment"", ""2025-12-01""], [""proposal"", ""2025-12-04""], [""negotiation"", ""2025-12-11""], [""sold"", ""2025-12-16""]]",North Branch,2025-12-29,"Repeat customer, easy close",no,$211,no
D0202,CUST0476,SALESP097,SUV,"$65,830-$83,715",pass,High,92,50,75,4,2025-11-12,2025-12-07,,1-3 months,research,"Looked at 2021 Camry, went with competitor",call,"Fort Worth, TX",walk-in,in-service customer,65+,Female,Consultant,luxury,"[[""lead"", ""2025-11-12""], [""contacted"", ""2025-11-13""], [""appointment"", ""2025-11-14""], [""proposal"", ""2025-11-16""], [""negotiation"", ""2025-11-18""], [""sold"", ""2025-11-20""]]",Airport,2025-12-07,Upgraded to higher trim level,no,"$2,955",no
D0203,CUST0703,SALESP080,used,"$23,184-$31,211",pass,Medium,86,50,73,5,2025-08-11,2025-10-24,,1-3 months,research,No prior history,text,"Various, USA",web,new customer,18-25,Female,Not specified,first-time,"[[""lead"", ""2025-08-11""], [""contacted"", ""2025-08-12""], [""appointment"", ""2025-08-15""], [""proposal"", ""2025-08-18""], [""negotiation"", ""2025-08-21""], [""sold"", ""2025-08-24""]]",Airport,2025-10-24,Added extended warranty package,no,"$1,438",no
D0204,CUST0081,SALESP034,used,"$16,678-$25,701",fail,Low,20,64,75,9,2025-12-26,2026-01-02,credit,just exploring,research,"Looked at 2021 Accord, purchased",WhatsApp,"Sacramento, CA",walk-in,in-service customer,26-35,Non-binary,Data Analyst,price-sensitive,"[[""lead"", ""2025-12-26""], [""contacted"", ""2025-12-28""], [""appointment"", ""2026-01-04""], [""lost"", ""2026-01-02""]]",Airport,,"Credit application denied, unable to secure financing",yes,$0,pending
